TGL_TRANSAKSI,NAMA_BARANG,JUMLAH_STOK
2023-02-15,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-02-16,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-02-17,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-02-18,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-02-19,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-02-20,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-02-21,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-02-22,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-02-23,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,6
2023-02-24,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-02-25,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-02-26,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,5
2023-02-27,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-02-28,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-03-01,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,4
2023-03-02,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,5
2023-03-03,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,4
2023-03-04,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,5
2023-03-05,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,0
2023-03-06,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,2
2023-03-07,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-03-08,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-03-09,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
2023-03-10,GENDONGAN SAMPING DOUBLE FUNGSI LINE SERIES,1
